9/11/2014,300,-42000,1500
9/12/2014,300,-41700,1500
9/13/2014,300,-41400,1500
9/14/2014,300,-41100,1500
9/15/2014,-600,-41700,600
9/16/2014,-1100,-42800,-800
9/17/2014,-200,-43000,-1300
9/18/2014,-900,-43900,-2500
9/19/2014,-500,-44400,-3300
9/20/2014,500,-43900,-2200
9/21/2014,0,-43900,-1100
9/22/2014,-600,-44500,-1500
9/23/2014,-1200,-45700,-1800
9/24/2014,300,-45400,-1000
9/25/2014,-900,-46300,-2400
9/26/2014,500,-45800,-1900
9/27/2014,0,-45800,-1300
9/28/2014,-800,-46600,-900
9/29/2014,0,-46600,-1200
9/30/2014,-500,-47100,-800
10/1/2014,-200,-47300,-1500
10/2/2014,-700,-48000,-2200
10/3/2014,0,-48000,-1400
10/4/2014,1000,-47000,-400
10/5/2014,0,-47000,100
10/6/2014,-700,-47700,-400
10/7/2014,-1100,-48800,-800
10/8/2014,0,-48800,-800
10/9/2014,0,-48800,-1800
10/10/2014,300,-48500,-1500
10/11/2014,300,-48200,-500
10/12/2014,300,-47900,900
10/13/2014,-300,-48200,600
10/14/2014,-900,-49100,-300
10/15/2014,0,-49100,-600
10/16/2014,300,-48800,-600
10/17/2014,300,-48500,-600
10/18/2014,300,-48200,0
10/19/2014,300,-47900,1200
10/20/2014,300,-47600,1500
10/21/2014,300,-47300,1500
10/22/2014,300,-47000,1500
10/23/2014,300,-46700,1500
10/24/2014,300,-46400,1500
10/25/2014,300,-46100,1500
10/26/2014,1000,-45100,2200
10/27/2014,-1600,-46700,300
10/28/2014,-700,-47400,-700
10/29/2014,0,-47400,-1000
10/30/2014,-400,-47800,-1700
10/31/2014,300,-47500,-2400
11/1/2014,300,-47200,-500
11/2/2014,-1100,-48300,-900
11/3/2014,0,-48300,-900
11/4/2014,-800,-49100,-1300
11/5/2014,0,-49100,-1600
11/6/2014,0,-49100,-1900
11/7/2014,0,-49100,-800
11/8/2014,0,-49100,-800
11/9/2014,-400,-49500,-400
11/10/2014,0,-49500,-400
11/11/2014,-600,-50100,-1000
11/12/2014,0,-50100,-1000
11/13/2014,0,-50100,-1000
11/14/2014,500,-49600,-100
11/15/2014,0,-49600,-100
11/16/2014,400,-49200,900
11/17/2014,-600,-49800,300
11/18/2014,-1000,-50800,-700
11/19/2014,-100,-50900,-1300
11/20/2014,0,-50900,-1300
11/21/2014,300,-50600,-1400
11/22/2014,0,-50600,-800
11/23/2014,-500,-51100,-300
11/24/2014,-600,-51700,-800
11/25/2014,-600,-52300,-1400
11/26/2014,600,-51700,-1100
11/27/2014,400,-51300,-700
11/28/2014,300,-51000,100
11/29/2014,400,-50600,1100
11/30/2014,0,-50600,1700
12/1/2014,-700,-51300,400
12/2/2014,-700,-52000,-700
12/3/2014,-400,-52400,-1400
12/4/2014,400,-52000,-1400
12/5/2014,500,-51500,-900
12/6/2014,-700,-52200,-900
12/7/2014,-500,-52700,-700
12/8/2014,-500,-53200,-800
12/9/2014,300,-52900,-900
12/10/2014,300,-52600,-1100
12/11/2014,300,-52300,-100
12/12/2014,300,-52000,700
12/13/2014,300,-51700,1500
12/14/2014,-800,-52500,400
12/15/2014,-700,-53200,-600
12/16/2014,0,-53200,-900
12/17/2014,-500,-53700,-1700
12/18/2014,-600,-54300,-2600
12/19/2014,0,-54300,-1800
12/20/2014,0,-54300,-1100
12/21/2014,-500,-54800,-1600
